StepCount,Reward
2980000,-164.39080
2990000,-163.46160
3000000,-164.53240
3010000,-167.60320
3020000,-169.67400
3030000,-172.74480
3040000,-172.81560
3050000,-172.88640
3060000,-174.95720
3070000,-177.02800
3080000,-166.09880
3090000,-166.16960
3100000,-168.24040
3110000,-168.31120
3120000,-169.38200
3130000,-161.45280
3140000,-160.52360
3150000,-165.59440
3160000,-171.66520
3170000,-174.73600
3180000,-176.80680
3190000,-176.87760
3200000,-180.94840
3210000,-184.01920
3220000,-182.09000
3230000,-185.16080
3240000,-183.23160
3250000,-184.30240
3260000,-182.37320
3270000,-179.44400
3280000,-177.51480
3290000,-181.58560
3300000,-183.65640
3310000,-182.72720
3320000,-182.79800
3330000,-184.86880
3340000,-186.93960
3350000,-192.01040
3360000,-189.08120
3370000,-188.15200
3380000,-191.22280
3390000,-189.29360
3400000,-191.36440
3410000,-184.43520
3420000,-187.50600
3430000,-184.57680
3440000,-187.64760
3450000,-191.71840
3460000,-189.78920
3470000,-191.86000
3480000,-191.93080
3490000,-191.00160
3500000,-189.07240
3510000,-194.14320
3520000,-197.21400
3530000,-197.28480
3540000,-199.35560
3550000,-197.42640
3560000,-191.49720
3570000,-196.56800
3580000,-195.63880
3590000,-193.70960
3600000,-187.78040
3610000,-188.85120
3620000,-192.92200
3630000,-194.99280
3640000,-197.06360
3650000,-202.13440
3660000,-201.20520
3670000,-203.27600
3680000,-199.34680
3690000,-202.41760
3700000,-204.48840
3710000,-204.55920
3720000,-204.63010
3730000,-202.70090
3740000,-201.77170
3750000,-203.84250
3760000,-206.91330
3770000,-207.98410
3780000,-206.05490
3790000,-205.12570
3800000,-205.19650
3810000,-207.26730
3820000,-212.33810
3830000,-217.40890
3840000,-220.47970
3850000,-218.55050
3860000,-223.62130
3870000,-225.69210
3880000,-224.76290
3890000,-227.83370
3900000,-228.90450
3910000,-227.97530
3920000,-230.04610
3930000,-229.11690
3940000,-228.18770
3950000,-229.25850
3960000,-230.32930
3970000,-235.40010
3980000,-236.47090
3990000,-238.54170
4000000,-240.61250
4010000,-243.68330
4020000,-244.75410
4030000,-244.82490
4040000,-246.89570
4050000,-248.96650
4060000,-248.03730
4070000,-252.10810
4080000,-253.17890
4090000,-251.24970
4100000,-254.32050
4110000,-258.39130
4120000,-251.46210
4130000,-254.53290
4140000,-259.60370
4150000,-261.67450
4160000,-262.74530
4170000,-260.81610
4180000,-261.88690
4190000,-261.95770
4200000,-266.02850
4210000,-267.09930
4220000,-272.17010
4230000,-277.24090
4240000,-276.31170
4250000,-274.38250
4260000,-276.45330
4270000,-281.52410
4280000,-282.59490
4290000,-281.66570
4300000,-283.73650
4310000,-286.80730
4320000,-288.87810
4330000,-282.94890
4340000,-288.01970
4350000,-284.09050
4360000,-277.16130
4370000,-278.23210
4380000,-277.30290
4390000,-273.37370
4400000,-272.44450
4410000,-272.51530
4420000,-273.58610
4430000,-269.65690
4440000,-273.72770
4450000,-273.79850
4460000,-270.86930
4470000,-267.94010
4480000,-273.01090
4490000,-277.08170
4500000,-276.15250
4510000,-278.22330
4520000,-280.29410
4530000,-283.36490
4540000,-285.43570
4550000,-288.50650
4560000,-289.57730
4570000,-287.64810
4580000,-292.71890
4590000,-292.78970
4600000,-294.86050
4610000,-292.93130
4620000,-298.00210
4630000,-297.07290
4640000,-300.14370
4650000,-304.21450
4660000,-304.28530
4670000,-309.35610
4680000,-312.42690
4690000,-317.49770
4700000,-319.56850
4710000,-316.63930
4720000,-320.71010
4730000,-323.78090
4740000,-323.85170
4750000,-324.92250
4760000,-325.99330
4770000,-327.06410
4780000,-330.13490
4790000,-328.20570
4800000,-324.27650
4810000,-318.34730
4820000,-320.41810
4830000,-319.48890
4840000,-321.55970
4850000,-324.63050
4860000,-323.70130
4870000,-320.77210
4880000,-319.84290
4890000,-317.91370
4900000,-316.98450
4910000,-322.05530
4920000,-326.12610
4930000,-323.19690
4940000,-316.26770
4950000,-316.33850
4960000,-320.40930
4970000,-322.48010
4980000,-319.55090
4990000,-320.62170
5000000,-325.69250
5010000,-329.76330
5020000,-330.83410
5030000,-330.90490
5040000,-336.97570
5050000,-333.04650
5060000,-328.11730
5070000,-329.18810
5080000,-327.25890
5090000,-328.32970
5100000,-330.40050
5110000,-325.47130
5120000,-329.54210
5130000,-330.61290
5140000,-331.68370
5150000,-330.75450
5160000,-329.82530
5170000,-331.89610
5180000,-334.96690
5190000,-330.03780
5200000,-332.10860
5210000,-335.17940
5220000,-330.25020
5230000,-332.32100
5240000,-328.39180
5250000,-333.46260
5260000,-334.53340
5270000,-335.60420
5280000,-338.67500
5290000,-337.74580
5300000,-334.81660
5310000,-335.88740
5320000,-336.95820
5330000,-333.02900
5340000,-334.09980
5350000,-331.17060
5360000,-332.24140
5370000,-334.31220
5380000,-335.38300
5390000,-329.45380
5400000,-329.52460
5410000,-332.59540
5420000,-333.66620
5430000,-338.73700
5440000,-339.80780
5450000,-341.87860
5460000,-341.94940
5470000,-340.02020
5480000,-337.09100
5490000,-340.16180
5500000,-339.23260
5510000,-340.30340
